N,Data_Structure,Time_Insert,Time_Search,Time_Max,Time_Min,Time_Pred,Time_Succ,Time_Delete
1000,Unsorted_Array,0.000003,0.001038,0.001215,0.001060,0.002618,0.002299,0.000002
1000,Sorted_Array,0.000274,0.000012,0.000002,0.000001,0.000001,0.000001,0.000425
1000,SLL_Unsorted,0.000025,0.001267,0.001278,0.001186,0.002608,0.002679,0.000688
1000,SLL_Sorted,0.000486,0.000001,0.001154,0.000001,0.000646,0.000001,0.000680
1000,DLL_Unsorted,0.000011,0.001262,0.001164,0.001171,0.002736,0.002763,0.000012
1000,DLL_Sorted,0.000441,0.000002,0.000001,0.000001,0.000001,0.000001,0.000016
2000,Unsorted_Array,0.000005,0.002116,0.002358,0.003049,0.010356,0.010389,0.000004
2000,Sorted_Array,0.001129,0.000032,0.000003,0.000002,0.000002,0.000002,0.001585
2000,SLL_Unsorted,0.000030,0.005460,0.004711,0.004725,0.011465,0.011913,0.002771
2000,SLL_Sorted,0.001538,0.000002,0.008843,0.000002,0.003944,0.000002,0.004023
2000,DLL_Unsorted,0.000020,0.005422,0.004706,0.004684,0.011645,0.011972,0.000023
2000,DLL_Sorted,0.001496,0.000003,0.000001,0.000001,0.000003,0.000002,0.000033
4000,Unsorted_Array,0.000012,0.008320,0.008685,0.008611,0.042567,0.043311,0.000008
4000,Sorted_Array,0.004162,0.000064,0.000005,0.000003,0.000003,0.000004,0.006191
4000,SLL_Unsorted,0.000071,0.022060,0.018832,0.018469,0.046647,0.048838,0.010824
4000,SLL_Sorted,0.009318,0.000005,0.050799,0.000003,0.025085,0.000005,0.024253
4000,DLL_Unsorted,0.000041,0.021257,0.018704,0.018575,0.047414,0.049014,0.000045
4000,DLL_Sorted,0.009745,0.000005,0.000003,0.000003,0.000004,0.000004,0.000077
8000,Unsorted_Array,0.000030,0.032888,0.033026,0.034560,0.173870,0.177602,0.000014
8000,Sorted_Array,0.015757,0.000137,0.000008,0.000007,0.000008,0.000009,0.025370
8000,SLL_Unsorted,0.000103,0.085541,0.079122,0.072753,0.188805,0.203798,0.043754
8000,SLL_Sorted,0.047080,0.000009,0.223941,0.000006,0.114570,0.000011,0.109738
8000,DLL_Unsorted,0.000074,0.087760,0.074381,0.073210,0.196278,0.203285,0.000091
8000,DLL_Sorted,0.050956,0.000011,0.000006,0.000005,0.000008,0.000011,0.000183
10000,Unsorted_Array,0.000016,0.051728,0.052416,0.052678,0.276141,0.282284,0.000018
10000,Sorted_Array,0.024287,0.000311,0.000010,0.000010,0.000010,0.000012,0.039501
10000,SLL_Unsorted,0.000104,0.135573,0.114742,0.114538,0.297550,0.313095,0.067321
10000,SLL_Sorted,0.074830,0.000012,0.351800,0.000007,0.180609,0.000014,0.172138
10000,DLL_Unsorted,0.000090,0.133367,0.114541,0.114373,0.303877,0.314318,0.000108
10000,DLL_Sorted,0.079534,0.000012,0.000007,0.000008,0.000013,0.000013,0.000161
